hostname,n_observed_planets,n_candidate_missing_planets,max_gap_period_ratio,max_candidate_priority_score,mean_candidate_priority_score,dominant_discoverymethod_system,best_candidate_id,best_candidate_period_days,best_candidate_semimajor_au,system_priority_class
2MASS J19383260+4603591,3,3,9.441860465116283,0.8703237072413558,0.7671739029469218,Eclipse Timing Variations,2MASS J19383260+4603591::Kepler-451 d::2MASS J19383260+4603591 b::1,90.88404503977634,0.3097505086515008,high
55 Cnc,5,6,19.89220517240303,0.8825934530979651,0.8141226589106022,Radial Velocity,55 Cnc::55 Cnc e::55 Cnc b::1,1.995698867139,0.03117634543979509,high
BD-06 1339,2,3,32.51910762239206,0.9065451440196,0.9064560332062985,Radial Velocity,BD-06 1339::BD-06 1339 b::BD-06 1339 c::3,52.73865310516657,0.24437600063130654,high
BD-08 2823,2,3,42.428571428571445,0.908227284080432,0.9082107976831625,Radial Velocity,BD-08 2823::BD-08 2823 b::BD-08 2823 c::1,14.292316643007519,0.09828158828769964,high
BD-11 4672,2,3,22.02156334231806,0.8895703115704727,0.8405026894900205,Radial Velocity,BD-11 4672::BD-11 4672 c::BD-11 4672 b::1,160.73703095072605,0.501430570405537,high
CoRoT-20,2,4,181.22116014000002,0.9284599526622239,0.913122442162857,Mixed,CoRoT-20::CoRoT-20 b::CoRoT-20 c::2,73.97576543879191,0.3602752645511962,high
EPIC 220674823,2,3,23.350989664380936,0.8715676681265079,0.8587082403345496,Transit,EPIC 220674823::EPIC 220674823 b::EPIC 220674823 c::3,6.068748464755836,0.06316786536868599,high
GJ 2030,2,4,10722.38724808822,0.8127486110426303,0.778417883137803,Radial Velocity,GJ 2030::GJ 2030 b::GJ 2030 c::2,97.48299943257435,0.4089305125838152,high
GJ 3138,3,4,43.15366588550387,0.8839841456253672,0.845068934385953,Radial Velocity,GJ 3138::GJ 3138 c::GJ 3138 d::3,100.5839042980323,0.37239846351776423,high
GJ 433,3,5,141.2713885576416,0.891808573106283,0.8645178671076215,Radial Velocity,GJ 433::GJ 433 d::GJ 433 c::4,1892.5922163996438,2.3445435048269356,high
GJ 676 A,4,7,29.64023394312049,0.9085529053329333,0.8301150929931486,Radial Velocity,GJ 676 A::GJ 676 A e::GJ 676 A b::1,82.77047100091538,0.31796665565156645,high
HAT-P-11,2,4,687.6022913256955,0.8779919447178353,0.8523819937854085,Mixed,HAT-P-11::HAT-P-11 b::HAT-P-11 c::3,246.33923385163013,0.7171926980783079,high
HAT-P-13,2,4,153.02871838834125,0.8698800063654757,0.8538523760415403,Mixed,HAT-P-13::HAT-P-13 b::HAT-P-13 c::3,59.660723600532165,0.3277858272021457,high
HAT-P-17,2,4,540.1159933917038,0.9367256646527042,0.9048237262558685,Mixed,HAT-P-17::HAT-P-17 b::HAT-P-17 c::2,128.07170379864175,0.48967706740615047,high
HAT-P-2,2,4,1508.826867939201,0.934652457913779,0.9241216854642643,Mixed,HAT-P-2::HAT-P-2 b::HAT-P-2 c::2,105.25319316400743,0.47978564597527595,high
HAT-P-44,2,4,202.77972360858624,0.8801184536666984,0.8689945919354087,Mixed,HAT-P-44::HAT-P-44 b::HAT-P-44 c::3,104.18525802297196,0.424777005448365,high
HATS-59,2,4,262.5514647953012,0.9362475187173382,0.9222435569314893,Mixed,HATS-59::HATS-59 b::HATS-59 c::3,153.1841454454906,0.5673026952136702,high
HD 10180,6,4,4.926269308479434,0.8851344067046443,0.8268943362706158,Radial Velocity,HD 10180::HD 10180 f::HD 10180 g::1,272.432770569181,0.8385868284683505,high
HD 105618,2,4,7694.1338275571425,0.9293061984563971,0.8880724651377343,Radial Velocity,HD 105618::HD 105618 b::HD 105618 c::1,60.00754306859404,0.3009660708397693,high
HD 111232,2,3,22.64282029500823,0.8155972091346984,0.8057756985333749,Radial Velocity,HD 111232::HD 111232 b::HD 111232 c::1,2550.328857224811,3.6038030730772537,high
HD 113337,2,2,17.097504619136853,0.7298716564916914,0.7204100596357539,Radial Velocity,HD 113337::HD 113337 b::HD 113337 c::1,818.1622914214927,1.9197257664015965,high
HD 11506,3,3,16.381282067132343,0.8013365924494464,0.7861228178462998,Radial Velocity,HD 11506::HD 11506 b::HD 11506 d::2,10434.298206371923,9.98547258038567,high
HD 115404 A,2,4,1459.6855962145357,0.9274318517520872,0.8961419958994328,Radial Velocity,HD 115404 A::HD 115404 A b::HD 115404 A c::2,193.5001055161014,0.6152996742600695,high
HD 118203,2,4,831.7878374101399,0.9273345512263225,0.9161914793499726,Radial Velocity,HD 118203::HD 118203 b::HD 118203 c::1,23.540490933706703,0.17408102469459868,high
HD 11964,2,3,51.30572408335532,0.8944788674530735,0.8713037155713911,Radial Velocity,HD 11964::HD 11964 c::HD 11964 b::1,101.46008918548706,0.4125568548338858,high
HD 12235,2,4,8328.281085479199,0.8112952201930006,0.7641581355754681,Radial Velocity,HD 12235::HD 12235 b::HD 12235 c::1,26.540021165475665,0.17975111316404013,high
HD 125612,3,5,134.23479658985332,0.8524825094470903,0.8345906308218007,Radial Velocity,HD 125612::HD 125612 c::HD 125612 b::3,78.56960217232574,0.3648989828025413,high
HD 134606,5,2,16.413905541497563,0.8704345273047565,0.8627865129346841,Radial Velocity,HD 134606::HD 134606 c::HD 134606 d::2,380.304281784249,1.0428084824548738,high
HD 137496,2,4,296.0226011004466,0.8758549686831392,0.862766071757213,Mixed,HD 137496::HD 137496 b::HD 137496 c::3,49.274338400552885,0.2665005836859355,high
HD 13908,2,3,48.03425859044475,0.9121420133646121,0.8955884452004913,Radial Velocity,HD 13908::HD 13908 b::HD 13908 c::1,51.02539344802733,0.2930852720964979,high
HD 140901,2,4,1594.232128886119,0.915075809346563,0.8720372055246858,Radial Velocity,HD 140901::HD 140901 b::HD 140901 c::1,39.43654048959721,0.22861971488776592,high
HD 147018,2,3,22.786870422280508,0.9055914321815943,0.8978995981649129,Radial Velocity,HD 147018::HD 147018 b::HD 147018 c::1,96.64892326829549,0.40188127833160914,high
HD 151450,2,4,828.7974154154225,0.9214541445669371,0.8589432484141947,Radial Velocity,HD 151450::HD 151450 b::HD 151450 c::1,83.9445633129214,0.3919552779052897,high
HD 153557,3,4,2662.3555249512424,0.9543229057299039,0.9138779959568448,Radial Velocity,HD 153557::HD 153557 c::HD 153557 d::1,73.94305101922701,0.3187232840209131,high
HD 155918,2,4,9171.22652705434,0.8107324749858171,0.7682044007902913,Radial Velocity,HD 155918::HD 155918 b::HD 155918 c::2,72.13190473750831,0.34248155928835616,high
HD 156098,2,4,358.7431656990029,0.9087736612134487,0.8540555703239141,Radial Velocity,HD 156098::HD 156098 b::HD 156098 c::1,70.8886791808239,0.36491160634128456,high
HD 156279,2,3,36.117881270775776,0.9111281158596363,0.9025840587109032,Radial Velocity,HD 156279::HD 156279 b::HD 156279 c::1,327.0378004795079,0.9100133641943395,high
HD 159243,2,2,19.683042789223453,0.9018378366859665,0.9017309201867302,Radial Velocity,HD 159243::HD 159243 b::HD 159243 c::1,34.07402469134013,0.2139306349979411,high
HD 160691,4,4,31.9424848535148,0.9041792852420218,0.8650503839278925,Radial Velocity,HD 160691::HD 160691 d::HD 160691 e::1,22.915701988672648,0.16445791321792871,high
HD 164604,2,2,8.238262731304479,0.814982559005951,0.8119937310916387,Radial Velocity,HD 164604::HD 164604 b::HD 164604 c::2,2667.2789004447573,3.4499731224116856,high
HD 164922,4,3,15.936097174544493,0.8641939881007454,0.829186095716563,Radial Velocity,HD 164922::HD 164922 c::HD 164922 b::2,479.6376652996282,1.1688327345796805,high
HD 168443,2,3,30.167840064344848,0.9101126328802536,0.9070514127921087,Radial Velocity,HD 168443::HD 168443 b::HD 168443 c::1,136.19178286766856,0.5145755484835105,high
HD 169830,2,2,8.0595267805219,0.7874579661475158,0.7850798730053923,Radial Velocity,HD 169830::HD 169830 b::HD 169830 c::2,907.1672217524049,1.9325320445301457,high
HD 18143,2,4,2817.9033397827943,0.9274469198357325,0.8840915564819107,Radial Velocity,HD 18143::HD 18143 b::HD 18143 c::1,50.372526842777745,0.252857195527943,high
HD 181433,3,5,108.64579444237029,0.9093138590618395,0.8883262749449715,Radial Velocity,HD 181433::HD 181433 b::HD 181433 c::3,156.15498946436395,0.5396885997777733,high
HD 187123,2,4,1230.388543138585,0.810896659225157,0.7938176995098132,Radial Velocity,HD 187123::HD 187123 b::HD 187123 c::2,53.32116241434047,0.28089932940742146,high
HD 190360,2,4,168.9518790930812,0.9150309125566529,0.8731998713520073,Radial Velocity,HD 190360::HD 190360 c::HD 190360 b::1,47.751593354576585,0.2568165338032736,high
HD 191939,6,4,10.204225352112685,0.8031535685510935,0.7897436653856547,Mixed,HD 191939::HD 191939 g::HD 191939 f::2,1336.0981647066503,2.213062953489937,high
HD 196067,2,4,741.9332123184776,0.8574669580037084,0.8334956483855321,Radial Velocity,HD 196067::HD 196067 c::HD 196067 b::2,64.71522487714772,0.3314592599901375,high
HD 204313,3,4,58.38639510852073,0.9152778849803076,0.8610761697508249,Radial Velocity,HD 204313::HD 204313 c::HD 204313 b::1,96.63485757151469,0.41620580424893244,high
HD 213885,2,1,4.746888748902569,0.71323360966148,0.71323360966148,Mixed,HD 213885::HD 213885 b::HD 213885 c::1,2.196241725323057,0.03380002540073449,high
HD 215497,2,4,143.8724568128438,0.8502516746412578,0.8501788200899241,Radial Velocity,HD 215497::HD 215497 b::HD 215497 c::4,209.51778745948016,0.6395524386981694,high
HD 217107,2,4,721.0169820566997,0.926213369963399,0.9103225538085782,Radial Velocity,HD 217107::HD 217107 b::HD 217107 c::1,26.57644390034157,0.17686552726958008,high
HD 217786,2,4,515.9602451818047,0.858687858047561,0.8526354298462242,Radial Velocity,HD 217786::HD 217786 c::HD 217786 b::2,30.678049186548638,0.20035182079757727,high
HD 219134,6,4,23.853503184713368,0.9017507683181667,0.8542991625039624,Radial Velocity,HD 219134::HD 219134 g::HD 219134 h::1,208.17997171786365,0.6408073533445474,high
HD 219828,2,4,1249.0444087482363,0.8120986822465353,0.8026026803398015,Radial Velocity,HD 219828::HD 219828 b::HD 219828 c::2,66.43199090911922,0.32523889389707555,high
HD 23079,2,4,127.97897619950064,0.9147887056194545,0.8955989282933685,Radial Velocity,HD 23079::HD 23079 c::HD 23079 b::1,15.170973952806007,0.12601864970195042,high
